ASY,PCB,Family,Top Priority 1,Top Priority 2,Top Priority 3,Bot Priority 1,Bot Priority 2,Bot Priority 3,# Circuits
10700510,93300082,WUP-1,,,,,,,6
10700511,93300082,WUP-1,,,,,,,6
10701030,93300376,WUP-9,,,,,,,12
10701031,93300376,WUP-9,,,,,,,12
10701032,93300378,WUP-12,,,,,,,12
10701033,93300378,WUP-12,,,,,,,12
10701034,93300378,WUP-12,,,,,,,12
10701035,93300373,WUP-7,,,,,,,12
10701036,93300375,WUP-10,,,,,,,12
10701037,93300375,WUP-10,,,,,,,12
10701038,93300377,WUP-11,,,,,,,12
10701039,93300377,WUP-11,,,,,,,12
10701040,93300377,WUP-11,,,,,,,12
10701041,93300379,WUP-10,,,,,,,12
10701042,93300373,WUP-7,,,,,,,12
10701043,93300372,WUP-13,,,,,,,12
10701074,93300383,WUP-8,,,,,,,12
10701075,93300384,WUP-10,,,,,,,12
40360-301-53,40360-300-03,800-1,SM5,,,,,,96
40360-301-54,40360-300-03,800-1,SM5,,,,,,96
40360-301-55,40360-300-03,800-1,SM5,,,,,,96
40360-301-56,40360-300-03,800-1,SM5,,,,,,96
40360-301-57,40360-300-03,800-1,SM5,,,,,,96
40360-304-53,40360-303-03,800-2,SM5,,,,,,96
40360-304-54,40360-303-03,800-2,SM5,,,,,,96
40360-304-55,40360-303-03,800-2,SM5,,,,,,96
40360-304-56,40360-303-03,800-2,SM5,,,,,,96
40360-304-57,40360-303-03,800-2,SM5,,,,,,96
40360-304-73,40360-303-03,800-2,SM5,,,,,,96
40360-304-74,40360-303-03,800-2,SM5,,,,,,96
40360-304-75,40360-303-03,800-2,SM5,,,,,,96
40360-304-76,40360-303-03,800-2,SM5,,,,,,96
40360-304-77,40360-303-03,800-2,SM5,,,,,,96
40845-293-51,40845-292-04,SLC-18,SM1,,,SM8,,,2
40845-293-51,,SLC-18,SM1,,,SM8,,,2
40845-398-53,,SLC-36,SM8,,,SM8,,,84
40846-034-51,40846-033-06,SLC-8,SM8,,,SM8,,,4
40846-051-51,40846-050-04,SLC-8,SM8,,,SM8,,,4
40846-342-51,40846-341-02,SLC-8,SM8,,,SM8,,,4
40846-377-51,,SLC-15,SM8,,,SM1,,,4
40846-377-51,40846-376-02,SLC-15,SM8,,,SM1,,,4
40846-386-51,,SLC-15,SM8,,,SM1,,,4
40846-386-51,,SLC-15,SM8,,,SM1,,,4
40846-386-51,40846-385-02,SLC-15,SM8,,,SM1,,,4
40846-390-51,,SLC-25,SM1,,,,,,4
40846-390-51,40846-389-02,SLC-25,SM1,,,,,,4
40846-394-51,,SLC-25,SM1,,,,,,4
40846-394-51,40846-393-02,SLC-25,SM1,,,,,,4
40846-394-51,40846-393-02,SLC-25,SM1,,,,,,4
40846-394-52,40846-393-02,SLC-25,SM1,,,,,,4
40847-147-51,40847-146-05,SLC-8,SM8,,,SM8,,,4
40847-217-55,,SLC-9,SM1,,,SM4,,,4
40847-217-55,40847-216-12,SLC-9,SM1,,,SM4,,,4
40847-217-55,40847-216-12,SLC-9,SM1,,,SM4,,,4
40847-217-55,,SLC-9,SM1,,,SM4,,,
40847-217-56,,SLC-9,SM1,,,SM4,,,4
40847-217-56,40847-216-12,SLC-9,SM1,,,SM4,,,4
40847-217-56,40847-216-12,SLC-9,SM1,,,SM4,,,4
40847-217-56,40847-216-12,SLC-9,SM1,,,SM4,,,4
40847-217-56,,SLC-9,SM1,,,SM4,,,4
40847-217-59,,SLC-9,SM1,,,SM4,,,4
40847-217-59,40847-216-12,SLC-9,SM1,,,SM4,,,4
40847-217-59,40847-216-12,SLC-9,SM1,,,SM4,,,4
40847-229-51,40847-228-08,SLC-19,SM8,,,SM8,,,6
40847-289-51,,SLC-24,SM8,,,SM8,,,4
40847-289-51,,SLC-24,SM8,,,SM8,,,4
40847-289-51,40847-288-10,SLC-24,SM8,,,SM8,,,4
40847-399-51,40847-398-01,SLC-16,SM1,,,SM4,,,35
40851-096-51,,SLC-16,SM8,,,SM8,,,35
40851-096-52,40851-095-03,SLC-16,SM1,,,SM8,,,35
40851-138-61,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-62,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-62,,SLC-4,SM1,,,SM4,,,4
40851-138-62,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-62,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-63,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-63,,SLC-4,SM1,,,SM4,,,4
40851-138-63,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-63,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-71,,SLC-4,SM1,,,SM4,,,4
40851-138-71,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-71,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-71,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-72,,SLC-4,SM1,,,SM4,,,4
40851-138-72,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-72,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-72,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-73,,SLC-4,SM1,,,SM4,,,4
40851-138-73,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-73,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-138-73,40851-137-12,SLC-4,SM1,,,SM4,,,4
40851-239-51,,SLC-14,SM8,,,SM1,,,8
40851-239-51,40851-238-03,SLC-14,SM8,,,SM1,,,4
40851-243-51,,SLC-2,SM8,,,SM1,,,4
40851-243-51,40851-242-03,SLC-2,SM8,,,SM1,,,4
40851-243-51,40851-242-03,SLC-2,SM8,,,SM1,,,4
40851-243-51,40851-242-03,SLC-2,SM8,,,SM1,,,4
40851-246-51,40851-245-02,SLC-2,SM8,,,SM1,,,4
40851-246-51,40851-245-02,SLC-2,SM8,,,SM1,,,4
40851-246-51,,SLC-2,SM8,,,SM1,,,4
40851-246-51,40851-245-02,SLC-2,SM8,,,SM1,,,4
40851-246-51,40851-245-02,SLC-2,SM8,,,SM1,,,4
40851-246-51,40851-245-02,SLC-2,SM8,,,SM1,,,4
